Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100p","C_0805_2012Metric",130.450000,-96.650000,180.000000,top
"C2","1n","C_0805_2012Metric",132.150000,-103.600000,180.000000,top
"C3","1u","C_0805_2012Metric",129.450000,-111.975000,0.000000,top
"C4","1u","C_0805_2012Metric",134.050000,-117.050000,180.000000,top
"C5","1u","C_0805_2012Metric",130.500000,-98.900000,0.000000,top
"C6","22uF","C_0805_2012Metric",144.272000,-81.620000,0.000000,top
"C7","100n","C_0805_2012Metric",144.272000,-83.820000,0.000000,top
"C8","22uF","C_0805_2012Metric",144.272000,-86.020000,0.000000,top
"C9","10uF","C_0805_2012Metric",148.336000,-86.868000,90.000000,top
"C10","22uF","C_0805_2012Metric",151.384000,-85.598000,180.000000,top
"C11","100n","C_0805_2012Metric",163.322000,-96.774000,-90.000000,top
"C12","100n","C_0805_2012Metric",137.657000,-102.161000,90.000000,top
"D1","SS14","D_SMA",147.300000,-76.700000,0.000000,top
"FB1","FerriteBead","L_0805_2012Metric",144.318500,-79.502000,180.000000,top
"L1","2.2uH","Coilcraft_XFL3012",155.194000,-86.614000,90.000000,top
"R1","1K","R_0805_2012Metric",130.450000,-101.300000,0.000000,top
"R2","1M","R_0805_2012Metric",134.100000,-101.350000,0.000000,top
"R3","1M","R_0805_2012Metric",133.350000,-98.250000,-90.000000,top
"R4","1M","R_0805_2012Metric",137.650000,-106.025000,-90.000000,top
"R5","1M","R_0805_2012Metric",129.475000,-114.200000,180.000000,top
"R6","100K","R_0805_2012Metric",129.032000,-117.094000,180.000000,top
"R7","100R","R_0805_2012Metric",134.100000,-114.675000,0.000000,top
"R8","100K","R_0805_2012Metric",158.750000,-88.646000,0.000000,top
"R11","1K","R_0805_2012Metric",143.256000,-117.498500,-90.000000,top
"R12","1K","R_0805_2012Metric",165.100000,-103.378000,0.000000,top
"U1","TL072","SOIC-8_3.9x4.9mm_P1.27mm",132.650000,-107.550000,0.000000,top
"U2","TPS62163DSGT","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias",151.130000,-87.992000,0.000000,top
