"Reference","Qty","Manufacturer","MPN","DNP","Package"
"A1","1","","","DNP",""
"C1","1","YAGEO","CC0805JRNPO9BN101","","0805 (2012 Metric)"
"C2","1","YAGEO","CC0805JRNPO9BN102","","0805 (2012 Metric)"
"C3,C4,C5","3","YAGEO","CC0805KKX7R8BB105","","0805 (2012 Metric)"
"C6,C8,C10","3","YAGEO","CC0805MKX5R8BB226","","0805 (2012 Metric)"
"C7,C11,C12","3","KEMET","C0805C104K5RACTU","","0805 (2012 Metric)"
"C9","1","YAGEO","CC0805KKX5R8BB106","","0805 (2012 Metric)"
"D1","1","onsemi","SS14","","DO-214AC, SMA"
"D2,D3","2","","","DNP",""
"FB1","1","Murata Electronics","BLM21PG600SN1D","","0805 (2012 Metric)"
"J1,J2","2","","","DNP",""
"J3","1","","","DNP",""
"L1","1","Coilcraft","XFL3012-222MEC","","1212 (3030 Metric)"
"R1,R11,R12","3","YAGEO","RC0805FR-071KL","","0805 (2012 Metric)"
"R2,R3,R4,R5","4","YAGEO","RC0805FR-071ML","","0805 (2012 Metric)"
"R6,R8","2","YAGEO","RC0805FR-07100KL","","0805 (2012 Metric)"
"R7","1","YAGEO","RC0805FR-07100RL","","0805 (2012 Metric)"
"RV1","1","","","DNP",""
"SW1","1","","","DNP",""
"TP1,TP2,TP3,TP4","4","","","DNP",""
"U1","1","Texas Instruments","TL072CDR","","8-SOIC (0.154"", 3.90mm Width)"
"U2","1","Texas Instruments","TPS62163DSGT","","8-WSON (2x2)"
"U3","1","","","DNP",""
