Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",133.350000,-113.792000,180.000000,top
"C2","100n","C_0805_2012Metric",129.352000,-98.298000,180.000000,top
"C3","100n","C_0805_2012Metric",133.162000,-98.298000,180.000000,top
"C4","4.7uF","C_0805_2012Metric",133.350000,-111.506000,180.000000,top
"R1","220K","R_0805_2012Metric",156.718000,-111.760000,-90.000000,top
"R2","220K","R_0805_2012Metric",159.004000,-111.760000,90.000000,top
"R3","1K","R_0805_2012Metric",159.258000,-104.648000,0.000000,top
"R4","10k","R_0805_2012Metric",98.552000,-84.582000,0.000000,top
"R5","1K","R_0805_2012Metric",158.496000,-107.950000,-90.000000,top
"TP1","TestPoint","TestPoint_Pad_D2.0mm",160.528000,-85.090000,0.000000,top
"TP2","TestPoint","TestPoint_Pad_D2.0mm",128.778000,-114.046000,0.000000,top
"TP3","TestPoint","TestPoint_Pad_D2.0mm",139.192000,-89.408000,0.000000,top
"TP4","TestPoint","TestPoint_Pad_D2.0mm",155.956000,-95.250000,0.000000,top
"TP5","TestPoint","TestPoint_Pad_D2.0mm",147.066000,-94.742000,0.000000,top
"TP6","TestPoint","TestPoint_Pad_D2.0mm",150.876000,-94.996000,0.000000,top
"U1","XIAO ESP32C3","xiao_esp32c3",144.666000,-104.326000,180.000000,top
"U2","MCP3208","SOIC-16_3.9x9.9mm_P1.27mm",131.064000,-104.902000,0.000000,top
