"Reference","Qty","MANUFACTURER","MPN","DNP"
"C1,C2,C3","3","Murata","GCM21BR71H104KA37L",""
"C4","1","Murata","GRM219R61A475KE19D",""
"D1","1","","","DNP"
"D2","1","","","DNP"
"J1","1","","","DNP"
"J2","1","","","DNP"
"L1","1","","","DNP"
"R1,R2","2","Yagato","RC0805FR-07220KL",""
"R3,R5","2","Yagato","RC0805FR-071KL",""
"R4","1","Yagato","RC0805FR-0710KL",""
"RV1,RV2","2","","","DNP"
"SW1","1","","","DNP"
"SW2","1","","","DNP"
"TP1,TP2,TP3,TP4,TP5,TP6","6","","","DNP"
"U1","1","Seeed Technology","","DNP"
"U2","1","Microchip","MCP3208-CI/SL",""
